Date;Open;High;Low;Close;Adj Close;Volume
01/01/2019;52000;52000;52000;52000;4,61E+14;0
02/01/2019;52000;52450;52000;52400;4,64E+14;35956000
03/01/2019;52000;52200;51150;51800;4,59E+12;72358000
04/01/2019;51750;52050;51250;52050;4,61E+13;51465000
07/01/2019;52650;53250;52450;52450;4,65E+13;73438000
08/01/2019;52300;53200;52050;52400;4,64E+14;66247500
09/01/2019;53000;53200;52250;52550;4,66E+14;84871000
10/01/2019;53000;53000;51900;52550;4,66E+14;114314500
11/01/2019;52800;53000;52350;52500;4,65E+14;84826500
14/01/2019;52200;52350;51500;52000;4,61E+14;87547500
15/01/2019;52300;52600;51900;52600;4,66E+14;87763000
16/01/2019;52600;52850;52450;52850;4,68E+14;94972500
17/01/2019;52900;53300;52850;53300;4,72E+14;91654000
18/01/2019;53400;54250;53150;54250;4,81E+12;100873500
21/01/2019;54250;56000;53900;55450;4,91E+14;87118000
22/01/2019;56000;56200;54500;56000;4,96E+14;91907000
23/01/2019;56000;56000;54750;55000;4,87E+14;98512500
24/01/2019;54300;54850;53550;54600;4,84E+14;106781000
25/01/2019;54000;55200;54000;55000;4,87E+14;68944000
28/01/2019;55150;55150;54750;54950;4,87E+12;69704000
29/01/2019;54450;55500;54400;55400;4,91E+13;77679000
30/01/2019;55600;55600;54950;55200;4,89E+14;76285000
31/01/2019;55200;56400;55200;56350;4,99E+14;135904500
01/02/2019;56800;57500;55600;56350;4,99E+14;57719500
04/02/2019;56350;56350;55000;55000;4,87E+14;113846500
05/02/2019;55000;55000;55000;55000;4,87E+14;0
06/02/2019;55000;55400;54950;55350;4,90E+12;121996500
07/02/2019;55350;55350;55050;55300;4,90E+12;63697500
08/02/2019;55300;55350;55000;55200;4,89E+14;65268500
11/02/2019;55200;55300;54600;54950;4,87E+12;37639000
12/02/2019;55300;55300;54500;54600;4,84E+14;95883500
13/02/2019;54600;54900;54100;54200;4,80E+14;103115500
14/02/2019;54050;54050;53800;53800;4,77E+14;108738500
15/02/2019;53600;54100;53350;53600;4,75E+12;81340000
18/02/2019;54100;55000;54100;54800;4,85E+12;62991000
19/02/2019;54200;54800;53800;53800;4,77E+14;64469000
20/02/2019;54500;55950;54400;55000;4,87E+14;89583000
21/02/2019;55400;55600;54700;55050;4,88E+12;54561500
22/02/2019;54750;55250;54600;54900;4,86E+12;48271500
25/02/2019;54900;55000;54550;54900;4,86E+12;47887000
26/02/2019;55000;55550;54950;55550;4,92E+12;98446000
27/02/2019;55650;55700;55450;55650;4,93E+12;78519500
28/02/2019;55700;55800;55100;55150;4,89E+12;99366000
01/03/2019;55650;56000;55350;55400;4,91E+13;72589500
04/03/2019;55200;55400;55150;55350;4,90E+12;63910500
05/03/2019;55000;55050;54400;54950;4,87E+12;46499500
06/03/2019;55550;55550;54900;54900;4,86E+12;37777000
07/03/2019;54900;54900;54900;54900;4,86E+12;0
08/03/2019;55450;55700;54400;54400;4,82E+12;61126000
11/03/2019;55300;55300;54600;55050;4,88E+12;32469000
12/03/2019;55400;55400;54500;55000;4,87E+14;40178500
13/03/2019;54500;55050;54500;55000;4,87E+14;17722000
14/03/2019;54500;54950;54500;54800;4,85E+12;41096000
15/03/2019;55200;55450;54850;55400;4,91E+13;41759500
18/03/2019;55550;55600;55350;55500;4,92E+13;42791000
19/03/2019;55400;55450;54850;54900;4,86E+12;51527000
20/03/2019;55400;55550;54650;54700;4,85E+12;42388500
21/03/2019;54900;55200;54650;54750;4,85E+12;39866000
22/03/2019;54650;55000;54650;54850;4,86E+14;29601000
25/03/2019;54400;55000;54400;54550;4,83E+14;23054500
26/03/2019;54800;55100;54550;54700;4,85E+12;19895500
27/03/2019;55100;55100;54600;54850;4,86E+14;17804500
28/03/2019;54600;54850;54250;54700;4,85E+12;32187500
29/03/2019;55150;55300;54600;55100;4,88E+12;36234000
01/04/2019;55500;55500;54800;55000;4,87E+14;21786000
02/04/2019;55300;55700;54800;55000;4,87E+14;36853000
03/04/2019;55000;55000;55000;55000;4,87E+14;0
04/04/2019;55400;55600;54900;55400;4,91E+13;48112000
05/04/2019;55600;55600;55250;55300;4,90E+12;21913500
08/04/2019;55050;55400;54500;54800;4,85E+12;39910000
09/04/2019;55350;55500;55150;55350;4,90E+12;29447000
10/04/2019;55500;55550;55150;55250;4,89E+12;19508500
11/04/2019;55600;55600;54800;54800;4,85E+12;25356000
12/04/2019;54600;55100;54600;55000;4,87E+14;18577000
15/04/2019;55600;55700;54900;55050;4,88E+12;68152000
16/04/2019;54950;55050;54750;54950;4,87E+12;71017000
17/04/2019;54950;54950;54950;54950;4,87E+12;0
18/04/2019;56000;58050;55800;56250;4,98E+12;129332500
19/04/2019;56250;56250;56250;56250;4,98E+12;0
22/04/2019;56250;56800;55850;56250;4,98E+12;62837500
23/04/2019;56800;57100;55950;56300;4,99E+14;48654000
24/04/2019;56400;56400;56000;56300;5,03E+14;46975000
25/04/2019;55350;56200;55250;55950;5,00E+12;61482500
26/04/2019;55850;56450;55700;56200;5,02E+13;66204500
29/04/2019;56100;56950;55950;56850;5,08E+13;65480500
30/04/2019;56700;57600;56700;57500;51407109375;107607500
01/05/2019;57500;57500;57500;57500;51407109375;0
02/05/2019;58000;58100;56750;56850;5,08E+13;80879500
03/05/2019;56800;57500;56150;56750;5,07E+14;58244500
06/05/2019;56000;56600;55950;56200;5,02E+13;36649500
07/05/2019;56750;57100;56500;56600;5,06E+14;59177000
08/05/2019;56000;57000;55950;57000;5,10E+14;59062000
09/05/2019;57000;57000;56250;56300;5,03E+14;126636500
10/05/2019;56100;56800;56000;56100;5,02E+14;76130500
13/05/2019;56800;56950;56000;56100;5,02E+14;63720500
14/05/2019;55600;56300;54950;54950;4,91E+14;114800500
15/05/2019;55550;55550;54450;54600;4,88E+14;72065000
16/05/2019;54600;54800;52800;52800;4,72E+14;87939000
17/05/2019;52800;53100;51800;51800;4631109375;74207000
20/05/2019;51800;53900;51400;53800;4,81E+14;54764500
21/05/2019;54700;54950;54000;54600;4,88E+14;97371000
22/05/2019;55300;55300;54000;54600;4,88E+14;38519000
23/05/2019;54400;56050;53400;56050;5,01E+13;54926000
24/05/2019;56100;56300;56050;56100;5,02E+14;37402000
27/05/2019;55350;57000;55300;56850;5,08E+13;68564000
28/05/2019;56550;57700;56550;57350;5,13E+13;209923000
29/05/2019;58000;58950;57300;57400;5,13E+14;133044500
30/05/2019;57400;57400;57400;57400;5,13E+14;0
31/05/2019;57400;58700;57350;58200;5,20E+11;96875000
03/06/2019;58200;58200;58200;58200;5,20E+11;0
04/06/2019;58200;58200;58200;58200;5,20E+11;0
05/06/2019;58200;58200;58200;58200;5,20E+11;0
06/06/2019;58200;58200;58200;58200;5,20E+11;0
07/06/2019;58200;58200;58200;58200;5,20E+11;0
10/06/2019;60000;61900;58100;58800;5,26E+14;179238000
11/06/2019;59000;59600;58450;59100;5,28E+13;72901000
12/06/2019;58400;59000;58200;58450;5,23E+13;69255500
13/06/2019;58850;58850;57900;58050;51898828125;78802500
14/06/2019;58450;58450;57900;58000;5,19E+12;57220500
17/06/2019;58100;58400;57900;57950;5,18E+11;83624000
18/06/2019;57950;59000;57950;59000;5,27E+14;78788000
19/06/2019;59000;59600;58900;59400;5,31E+14;66944500
20/06/2019;59000;59400;58050;59100;5,28E+13;59504500
21/06/2019;59100;59350;58400;58800;5,26E+14;144149000
24/06/2019;58950;59000;58650;58750;5,25E+14;30084000
25/06/2019;59300;59600;58750;59100;5,28E+13;40561500
26/06/2019;59400;59400;58600;58650;5,24E+14;59334500
27/06/2019;58500;59350;58050;59350;5,31E+12;77525000
28/06/2019;59800;59950;59600;59950;5,36E+13;80919000
01/07/2019;59950;60250;59650;59900;5,36E+14;56612500
02/07/2019;59900;60000;59500;60000;5,36E+12;48563500
03/07/2019;59500;60000;59400;60000;5,36E+12;43640000
04/07/2019;60000;60100;59650;59900;5,36E+14;28224500
05/07/2019;60200;60200;59700;59700;5,34E+14;32722500
08/07/2019;59350;59600;58650;58800;5,26E+14;38361000
09/07/2019;58700;60000;58700;60000;5,36E+12;47740500
10/07/2019;60000;60400;59950;60000;5,36E+12;52183500
11/07/2019;60200;60250;59800;60250;5,39E+14;34279500
12/07/2019;60000;60300;59950;60100;5,37E+11;29838000
15/07/2019;60600;61150;60350;61050;545809375;61453500
16/07/2019;60800;61050;60700;60850;5,44E+14;38075000
17/07/2019;60800;61500;60450;61500;5,50E+13;45487000
18/07/2019;61000;61700;60550;61450;5,49E+14;43625500
19/07/2019;61950;62100;61500;62000;5,54E+13;43973500
22/07/2019;62600;62900;62000;62900;5,62E+14;37314500
23/07/2019;62400;62900;62050;62350;5,57E+14;39129500
24/07/2019;62600;62650;61650;62500;5,59E+12;51343500
25/07/2019;62700;62750;62000;62500;5,59E+12;53477500
26/07/2019;62500;62500;61900;61950;5,54E+14;51797500
29/07/2019;62200;62300;61600;61900;5,53E+14;68509500
30/07/2019;62050;62500;61900;62200;5,56E+14;38225500
31/07/2019;61900;62400;61800;61900;5,53E+14;64129000
01/08/2019;61900;62700;61850;62100;5,55E+14;78228000
02/08/2019;61600;62050;61600;61650;5,51E+14;62989500
05/08/2019;62150;62150;60000;60000;5,36E+12;90924000
06/08/2019;58800;59550;57650;58800;5,26E+14;183296000
07/08/2019;59750;60500;59050;60100;5,37E+11;92102000
08/08/2019;60100;60800;59800;60050;5,37E+14;58295500
09/08/2019;60550;61200;60550;60650;5,42E+14;48118500
12/08/2019;60700;60800;60000;60400;5,40E+11;52705000
13/08/2019;60000;60400;60000;60150;5,38E+13;84406000
14/08/2019;60400;60600;59800;60100;5,37E+11;81942000
15/08/2019;59200;60000;58600;60000;5,36E+12;52561500
16/08/2019;60400;60400;59600;59600;5,33E+14;49821500
19/08/2019;60300;60300;59650;60150;5,38E+13;30619000
20/08/2019;60350;60350;59850;59850;5,35E+14;58393500
21/08/2019;60000;60050;59750;59750;5,34E+14;55927500
22/08/2019;59250;60000;59200;60000;5,36E+12;65888000
23/08/2019;59200;59950;59050;59950;5,36E+13;33083500
26/08/2019;59400;60000;58600;59900;5,36E+14;41388500
